time,latitud,longitud,Td_Valor,CodigoNacional,nombreEstacion
1952-01-09 12:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 13:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 14:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 15:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 16:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 17:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 18:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 19:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 20:00:00,-34.96944,-71.21694,16.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 21:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 22:00:00,-34.96944,-71.21694,16.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 23:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 10:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 11:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 12:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 13:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 14:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 15:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 16:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 17:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 18:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 19:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 20:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 21:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 22:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-10 23:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 10:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 11:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 12:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 13:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 14:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 15:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 16:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 17:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 18:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 19:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 20:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 21:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 22:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-11 23:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 10:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 11:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 12:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 13:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 14:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 15:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 16:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 17:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 18:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 19:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 20:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 21:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 22:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-12 23:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 10:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 11:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 12:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 13:00:00,-34.96944,-71.21694,9.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 14:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 15:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 16:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 17:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 18:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 19:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 20:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 21:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 22:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-13 23:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
