time,latitud,longitud,HR_Valor,CodigoNacional,nombreEstacion
2023-01-09 00:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 01:00:00,-18.35555,-70.34028,77.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 02:00:00,-18.35555,-70.34028,78.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 03:00:00,-18.35555,-70.34028,78.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 04:00:00,-18.35555,-70.34028,75.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 05:00:00,-18.35555,-70.34028,75.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 06:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 07:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 08:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 09:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 10:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 11:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 12:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 13:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 14:00:00,-18.35555,-70.34028,56.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 15:00:00,-18.35555,-70.34028,52.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 16:00:00,-18.35555,-70.34028,53.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 17:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 18:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 19:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 20:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 21:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 22:00:00,-18.35555,-70.34028,61.0,180005.0,"Chacalluta, Arica Ap."
2023-01-09 23:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 00:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 01:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 02:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 03:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 04:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 05:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 06:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 07:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 08:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 09:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 10:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 11:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 12:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-10 13:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
