time,latitud,longitud,Ts_Valor,CodigoNacional,nombreEstacion
1957-01-22 06:00:00,-18.35555,-70.34028,17.6,180005.0,"Chacalluta, Arica Ap."
1957-01-22 09:00:00,-18.35555,-70.34028,18.3,180005.0,"Chacalluta, Arica Ap."
1957-01-22 12:00:00,-18.35555,-70.34028,21.3,180005.0,"Chacalluta, Arica Ap."
1957-01-22 15:00:00,-18.35555,-70.34028,26.4,180005.0,"Chacalluta, Arica Ap."
1957-01-22 18:00:00,-18.35555,-70.34028,29.2,180005.0,"Chacalluta, Arica Ap."
1957-01-22 21:00:00,-18.35555,-70.34028,30.0,180005.0,"Chacalluta, Arica Ap."
1957-01-23 06:00:00,-18.35555,-70.34028,18.0,180005.0,"Chacalluta, Arica Ap."
1957-01-23 09:00:00,-18.35555,-70.34028,16.2,180005.0,"Chacalluta, Arica Ap."
1957-01-23 12:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1957-01-23 15:00:00,-18.35555,-70.34028,26.7,180005.0,"Chacalluta, Arica Ap."
1957-01-23 18:00:00,-18.35555,-70.34028,27.5,180005.0,"Chacalluta, Arica Ap."
1957-01-23 21:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
1957-01-24 06:00:00,-18.35555,-70.34028,19.3,180005.0,"Chacalluta, Arica Ap."
1957-01-24 09:00:00,-18.35555,-70.34028,19.1,180005.0,"Chacalluta, Arica Ap."
1957-01-24 12:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1957-01-24 15:00:00,-18.35555,-70.34028,28.0,180005.0,"Chacalluta, Arica Ap."
1957-01-24 18:00:00,-18.35555,-70.34028,29.0,180005.0,"Chacalluta, Arica Ap."
1957-01-24 21:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1957-01-25 06:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1957-01-25 09:00:00,-18.35555,-70.34028,19.2,180005.0,"Chacalluta, Arica Ap."
1957-01-25 12:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1957-01-25 15:00:00,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1957-01-25 18:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1957-01-25 21:00:00,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1957-01-26 06:00:00,-18.35555,-70.34028,19.0,180005.0,"Chacalluta, Arica Ap."
1957-01-26 09:00:00,-18.35555,-70.34028,17.3,180005.0,"Chacalluta, Arica Ap."
1957-01-26 12:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1957-01-26 15:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1957-01-26 18:00:00,-18.35555,-70.34028,28.4,180005.0,"Chacalluta, Arica Ap."
1957-01-26 21:00:00,-18.35555,-70.34028,27.1,180005.0,"Chacalluta, Arica Ap."
1957-01-27 06:00:00,-18.35555,-70.34028,19.3,180005.0,"Chacalluta, Arica Ap."
1957-01-27 09:00:00,-18.35555,-70.34028,18.1,180005.0,"Chacalluta, Arica Ap."
1957-01-27 12:00:00,-18.35555,-70.34028,23.6,180005.0,"Chacalluta, Arica Ap."
1957-01-27 15:00:00,-18.35555,-70.34028,26.5,180005.0,"Chacalluta, Arica Ap."
1957-01-27 18:00:00,-18.35555,-70.34028,27.3,180005.0,"Chacalluta, Arica Ap."
1957-01-27 21:00:00,-18.35555,-70.34028,29.3,180005.0,"Chacalluta, Arica Ap."
1957-01-28 06:00:00,-18.35555,-70.34028,19.0,180005.0,"Chacalluta, Arica Ap."
1957-01-28 09:00:00,-18.35555,-70.34028,19.3,180005.0,"Chacalluta, Arica Ap."
1957-01-28 12:00:00,-18.35555,-70.34028,20.6,180005.0,"Chacalluta, Arica Ap."
1957-01-28 15:00:00,-18.35555,-70.34028,27.0,180005.0,"Chacalluta, Arica Ap."
1957-01-28 18:00:00,-18.35555,-70.34028,28.0,180005.0,"Chacalluta, Arica Ap."
1957-01-28 21:00:00,-18.35555,-70.34028,28.0,180005.0,"Chacalluta, Arica Ap."
1957-01-29 06:00:00,-18.35555,-70.34028,20.3,180005.0,"Chacalluta, Arica Ap."
1957-01-29 09:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1957-01-29 12:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1957-01-29 15:00:00,-18.35555,-70.34028,27.3,180005.0,"Chacalluta, Arica Ap."
1957-01-29 18:00:00,-18.35555,-70.34028,30.7,180005.0,"Chacalluta, Arica Ap."
1957-01-29 21:00:00,-18.35555,-70.34028,29.7,180005.0,"Chacalluta, Arica Ap."
1957-01-30 06:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1957-01-30 09:00:00,-18.35555,-70.34028,18.7,180005.0,"Chacalluta, Arica Ap."
1957-01-30 12:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1957-01-30 15:00:00,-18.35555,-70.34028,27.5,180005.0,"Chacalluta, Arica Ap."
1957-01-30 18:00:00,-18.35555,-70.34028,27.7,180005.0,"Chacalluta, Arica Ap."
